#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   2223      4.62e+00    4.29e+00      3.65e-03    3.36e-03      1.46e-01    1.36e-01    1.0e-03
   2232      3.72e+00    4.29e+00      7.80e-03    7.68e-03      1.18e-01    1.36e-01    1.0e-03
   2241      4.49e+00    4.28e+00      1.72e-03    1.92e-03      1.42e-01    1.35e-01    1.0e-03
   2250      5.03e+00    4.56e+00      3.41e-02    3.36e-02      1.59e-01    1.44e-01    1.0e-03
   2259      4.81e+00    4.55e+00      2.09e-02    2.08e-02      1.52e-01    1.44e-01    1.0e-03
   2268      5.33e+00    4.32e+00      3.66e-03    3.43e-03      1.69e-01    1.37e-01    1.0e-03
   2277      4.52e+00    4.88e+00      2.86e-02    2.78e-02      1.43e-01    1.54e-01    1.0e-03
   2286      4.74e+00    4.31e+00      2.24e-02    2.11e-02      1.50e-01    1.36e-01    1.0e-03
   2295      4.56e+00    4.82e+00      2.45e-02    2.44e-02      1.44e-01    1.52e-01    1.0e-03
   2304      4.82e+00    4.68e+00      9.72e-03    1.06e-02      1.53e-01    1.48e-01    1.0e-03
   2313      4.51e+00    4.33e+00      9.33e-03    9.52e-03      1.43e-01    1.37e-01    1.0e-03
   2322      3.90e+00    4.34e+00      2.84e-02    2.82e-02      1.23e-01    1.37e-01    1.0e-03
