Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
23.6000       -451.8409    -454.3851       2.5442   317.5
23.6500       -451.9773    -454.3048       2.3275   290.4
23.7000       -451.9149    -454.2780       2.3632   294.9
23.7500       -451.9605    -454.3597       2.3993   299.4
23.8000       -451.6100    -454.0301       2.4201   302.0
23.8500       -451.3116    -453.7546       2.4429   304.8
23.9000       -450.8971    -453.4606       2.5635   319.9
23.9500       -451.3620    -453.7730       2.4111   300.9
24.0000       -451.5240    -454.1784       2.6543   331.2
24.0500       -451.7178    -454.1099       2.3921   298.5
24.1000       -451.1437    -453.8415       2.6978   336.6
24.1500       -451.2757    -453.5739       2.2982   286.8
24.2000       -451.4604    -454.0693       2.6089   325.5
24.2500       -451.6583    -454.2116       2.5533   318.6
24.3000       -451.6145    -454.1213       2.5068   312.8
24.3500       -451.6782    -454.1480       2.4697   308.2
24.4000       -452.1886    -454.1625       1.9738   246.3
24.4500       -451.8606    -454.0956       2.2351   278.9
24.5000       -451.9354    -453.9634       2.0280   253.0
24.5500       -451.9087    -454.2598       2.3510   293.4
24.6000       -451.6036    -453.8910       2.2874   285.4
24.6500       -451.7055    -454.1137       2.4082   300.5
24.7000       -451.4997    -453.8902       2.3905   298.3
24.7500       -451.9354    -454.3196       2.3841   297.5
24.8000       -451.8319    -454.4168       2.5849   322.5
24.8500       -451.5757    -454.1138       2.5381   316.7
24.9000       -451.2421    -453.9711       2.7290   340.5
24.9500       -451.6961    -454.1941       2.4980   311.7
25.0000       -451.3847    -453.7489       2.3641   295.0
25.0500       -450.8433    -453.6446       2.8013   349.5
25.1000       -451.1661    -453.8189       2.6528   331.0
25.1500       -451.4800    -453.7111       2.2311   278.4
25.2000       -451.0046    -453.8343       2.8297   353.1
25.2500       -451.4686    -453.8057       2.3371   291.6
25.3000       -451.3189    -453.7868       2.4679   307.9
25.3500       -451.3755    -454.0992       2.7236   339.9
25.4000       -451.4264    -453.9360       2.5096   313.1
25.4500       -451.5172    -453.8085       2.2912   285.9
25.5000       -451.2176    -453.5434       2.3258   290.2
